No,Questions
1,"Tell me about yourself?"
2,"What do you know about our company?"
3,"What are you looking for in this position?"
4,What's your current (employment) situation?
5,"Why do you want to work in the UK?"
6,"What are your salary expectations?"
7,"What are your biggest strengths?"
8,"What is your biggest weakness?"
9,"Tell me about something that's not on your resume."
10,"What are your greatest achievements?"
11,"Describe a time when your boss was wrong. How did you handle the situation?"
12,"Tell me about a time you’ve disagreed with a senior member of staff."
13,"Tell me about a time when you were in direct conflict with a peer and how was it resolved."
14,"Tell me about a time you were under a lot of pressure. What was going on, and how did you get through it?"
15,"Tell me about a time you were under a lot of pressure. What was going on, and how did you get through it?"
16,"How do you deal with pressure or stressful situations?"
17,"Tell me about how you worked effectively under pressure."
18,"How did you handle meeting a tight deadline?"
19,"What do you like most and least about your current job?"
20,"How well do you handle change?"
21,"Tell me about a challenge or conflict you’ve faced at work and how you dealt with it."
22,"How do you handle failure?"
23,"Tell me about a time you failed. How did you deal with the situation?"
24,"Have you ever made a mistake? How did you handle it?"
25,"Give me an example of something you’ve tried in your job that hasn’t worked. How did you learn from it?"
26,"Tell me about a time when a client was especially unhappy, and what you did to resolve the situation?"
27,"Tell me about a time you’ve worked to/missed a deadline."
28,"Tell me about a time when you made a mistake and how you handled it."
29,"Tell me about a time you disagreed with a decision. What did you do?"
30,"What do you do if you disagree with your boss?"
31,"Describe a time when you struggled to build a relationship with someone important. How did you eventually overcome that?"
32,"Tell me about a time you’ve had to persuade someone to do something."
33,"Tell me about a time when you handled a challenging situation."
34,"Give an example of a goal you reached and tell me how you achieved it."
35,"At your current job, what are you most proud of?"
36,"Did you ever make a risky decision? Why? How did you handle it?"
37,"Did you ever postpone making a decision? Why?"
38,"Describe a decision you made that wasn’t popular and how you handled implementing it."
39,"Tell me about a time when you (or your boss) made an unpopular decision that had to be executed by your team."
40,"How would your former boss describe you?"
41,"Out of all candidates, why should we hire you?"
42,"Where do you see yourself in five years?"


